zipcode,train,validation,test
98103,0.11644997173544375,0.08070175438596491,0.1093044263775971
98038,0.10062182023742228,0.11812865497076024,0.12014453477868112
98115,0.107687959299039,0.09239766081871345,0.1111111111111111
98052,0.11107970604861504,0.09707602339181287,0.08852755194218609
98117,0.10712266817410966,0.07368421052631578,0.1002710027100271
98042,0.0929903900508762,0.10409356725146199,0.11743450767841011
98034,0.0994912379875636,0.11578947368421053,0.08491418247515808
98118,0.08224985867721876,0.11228070175438597,0.1093044263775971
98023,0.08733747880158281,0.12280701754385964,0.07678410117434507
98006,0.09496890898812889,0.08304093567251462,0.08220415537488708
