model_split,start_date,end_date,home_count,median_sale_price,average_sale_price,median_price_per_sqft,median_sqft_living,waterfront_share,renovated_share
train,2014-05-02,2014-12-11,13832,450000.0,540310.2344563331,243.71069182389937,1935.0,0.0076633892423366105,0.046414112203585885
validation,2014-12-11,2015-03-10,3458,430000.0,521008.8241758242,236.3233623627414,1880.0,0.007229612492770388,0.03152111046847889
test,2015-03-10,2015-05-27,4323,465000.0,554639.2160536664,256.37820512820514,1880.0,0.007402266944251677,0.03770529724728198
