model_split,median_price,median_sqft_living,median_grade,waterfront_share,renovated_share,median_price_per_sqft
train,450000.0,1935.0,7.0,0.0076633892423366105,0.046414112203585885,243.71069182389937
validation,430000.0,1880.0,7.0,0.007229612492770388,0.03152111046847889,236.3233623627414
test,465000.0,1880.0,7.0,0.007402266944251677,0.03770529724728198,256.37820512820514
