,value
sale_start_date,2014-05-02
sale_end_date,2015-05-27
home_count,21613
median_sale_price,450000.0
average_sale_price,540088.1417665294
median_price_per_sqft,244.64454976303318
median_sqft_living,1910.0
waterfront_share,0.007541757275713691
