calibration_factor,validation_coverage,coverage_gap
1.0,0.6683053788316946,-0.13169462116830544
1.05,0.6876807403123193,-0.11231925968768075
1.1,0.7050318102949682,-0.09496818970503185
1.1500000000000001,0.7238288027761712,-0.07617119722382881
1.2000000000000002,0.7423366107576634,-0.057663389242336605
1.2500000000000002,0.7527472527472527,-0.04725274725274731
1.3000000000000003,0.7700983227299016,-0.029901677270098403
1.3500000000000003,0.7831116252168884,-0.01688837478311167
1.4000000000000004,0.7935222672064778,-0.006477732793522262
1.4500000000000004,0.8042220936957779,0.004222093695777862
1.5000000000000004,0.8137651821862348,0.013765182186234792
1.5500000000000005,0.8259109311740891,0.025910931174089047
1.6000000000000005,0.835454019664546,0.03545401966454598
1.6500000000000006,0.8461538461538461,0.0461538461538461
1.7000000000000006,0.8530942741469058,0.05309427414690571
1.7500000000000007,0.8611914401388086,0.061191440138808506
1.8000000000000007,0.8687102371312898,0.06871023713128976
1.8500000000000008,0.8756506651243493,0.07565066512434926
1.9000000000000008,0.8817235396182764,0.08172353961827639
1.9500000000000008,0.8872180451127819,0.08721804511278186
2.000000000000001,0.8909774436090225,0.09097744360902249
2.0500000000000007,0.8990746096009254,0.0990746096009254
2.100000000000001,0.9045691150954309,0.10456911509543088
2.1500000000000012,0.9103528050896472,0.11035280508964718
2.200000000000001,0.9132446500867554,0.11324465008675533
2.250000000000001,0.9164256795835743,0.1164256795835743
2.300000000000001,0.9222093695777906,0.1222093695777906
2.3500000000000014,0.926257952573742,0.12625795257374195
2.4000000000000012,0.9291497975708503,0.1291497975708502
2.450000000000001,0.9320416425679584,0.13204164256795836
2.5000000000000013,0.9360902255639098,0.1360902255639097
