uncertainty_bucket,home_count,average_uncertainty_score,median_absolute_error,mean_absolute_percentage_error,q10_q90_interval_coverage
low,1441,0.25006743019076133,26203.07344302209,0.07714388535469337,0.7432338653712699
medium,1441,0.41700991377826635,42565.76745297812,0.11658977239882276,0.794587092297016
high,1441,0.687574114916613,56947.4183713221,0.16545740555021907,0.871616932685635
