candidate,selection_score,mean_pinball_loss,q10_observed_frequency,q50_observed_frequency,q90_observed_frequency,q10_q90_interval_coverage,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree
2,0.047684806582752405,0.04169406048674315,0.12984384037015617,0.4277038750722961,0.7981492192018508,0.6683053788316946,700,0.035,31,80,0.9,0.9
1,0.04782124657069854,0.04174085327977894,0.12984384037015617,0.4291497975708502,0.7955465587044535,0.6657027183342973,500,0.05,31,80,0.9,0.9
4,0.047909363127635704,0.0418289698367161,0.12406015037593984,0.42452284557547715,0.7909196067090803,0.6668594563331406,700,0.035,63,200,0.85,0.8
3,0.04842036463343945,0.04197849071788132,0.1341816078658184,0.4242336610757663,0.7920763447079237,0.6578947368421053,900,0.025,63,120,0.85,0.85
