,mae,mape,median_ape,rmse
Vanilla Point AVM,68001.83805043112,0.12090229886453664,0.08976046924838157,118805.00193716945
Quantile AVM Q50,68080.63988571704,0.12005490947369991,0.08837604716647396,124822.41492855312
