group,home_count,share_of_test_set,median_actual_price,median_predicted_q50,median_buy_offer,average_offer_to_q50,average_uncertainty_score,median_sqft_living,median_sqft_lot,average_grade,average_home_age,waterfront_rate,view_rate,renovated_rate
below_cap_auto_price,3756,0.8688410825815406,475000.0,461199.7751031222,411502.6071469352,0.8915237085234936,0.3898419431767094,1920.0,7378.0,7.677848775292865,41.28700745473908,0.0005324813631522897,0.07321618743343983,0.034345047923322686
hit_cap_manual_review,567,0.1311589174184594,390000.0,347704.4633031715,295548.7938076958,0.8499999999999998,0.860328771926786,1460.0,8382.0,7.165784832451499,62.35626102292769,0.05291005291005291,0.26278659611992944,0.059964726631393295
