method,q10_q90_coverage,target_coverage,mean_abs_quantile_calibration_error,average_interval_width,average_uncertainty_score,average_offer_to_q50
Raw,0.6567198704603284,0.8,0.11672706710874652,162702.27905365254,0.3075614894096324,0.8796381571304617
Width Scaling,0.7892667129308351,0.8,0.10302773279872518,227783.19067511364,0.43058608517348546,0.8650192927515462
Isotonic,0.8413139023826047,0.8,0.05072352018916906,241141.59820870392,0.4416801009444741,0.8610771605001927
