calibration_factor,validation_coverage
1.0,0.6691729323308271
1.05,0.6914401388085598
1.1,0.7093695777906304
1.1500000000000001,0.7299016772700984
1.2000000000000002,0.7475419317524581
1.2500000000000002,0.7611336032388664
1.3000000000000003,0.7750144592249856
1.3500000000000003,0.7886061307113938
1.4000000000000004,0.8004626951995373
1.4500000000000004,0.8105841526894159
1.5000000000000004,0.8209947946790052
1.5500000000000005,0.8316946211683054
1.6000000000000005,0.8421052631578947
1.6500000000000006,0.8533834586466166
1.7000000000000006,0.8606130711393869
1.7500000000000007,0.8692886061307113
1.8000000000000007,0.8776749566223251
1.8500000000000008,0.8834586466165414
1.9000000000000008,0.8892423366107577
1.9500000000000008,0.8944476576055523
2.000000000000001,0.8979178716020821
2.0500000000000007,0.9054366685945633
2.100000000000001,0.9109311740890689
2.1500000000000012,0.9175824175824175
2.200000000000001,0.9204742625795257
2.250000000000001,0.9251012145748988
2.300000000000001,0.9285714285714286
2.3500000000000014,0.9320416425679584
2.4000000000000012,0.9358010410641989
2.450000000000001,0.9384037015615962
2.5000000000000013,0.9424522845575477
