calibration_factor,validation_coverage
1.0,0.6683053788316946
1.05,0.6876807403123193
1.1,0.7050318102949682
1.1500000000000001,0.7238288027761712
1.2000000000000002,0.7423366107576634
1.2500000000000002,0.7527472527472527
1.3000000000000003,0.7700983227299016
1.3500000000000003,0.7831116252168884
1.4000000000000004,0.7935222672064778
1.4500000000000004,0.8042220936957779
1.5000000000000004,0.8137651821862348
1.5500000000000005,0.8259109311740891
1.6000000000000005,0.835454019664546
1.6500000000000006,0.8461538461538461
1.7000000000000006,0.8530942741469058
1.7500000000000007,0.8611914401388086
1.8000000000000007,0.8687102371312898
1.8500000000000008,0.8756506651243493
1.9000000000000008,0.8817235396182764
1.9500000000000008,0.8872180451127819
2.000000000000001,0.8909774436090225
2.0500000000000007,0.8990746096009254
2.100000000000001,0.9045691150954309
2.1500000000000012,0.9103528050896472
2.200000000000001,0.9132446500867554
2.250000000000001,0.9164256795835743
2.300000000000001,0.9222093695777906
2.3500000000000014,0.926257952573742
2.4000000000000012,0.9291497975708503
2.450000000000001,0.9320416425679584
2.5000000000000013,0.9360902255639098
