,value
raw_q10_q90_coverage,0.648854961832061
calibrated_q10_q90_coverage,0.7878787878787878
target_coverage,0.8
raw_average_interval_width,162538.1134215074
calibrated_average_interval_width,235680.26446118578
raw_average_uncertainty_score,0.30644397509236854
calibrated_average_uncertainty_score,0.44434376388393454
