sale_month,monthly_home_count,monthly_market_multiplier,monthly_average_offer_change_pct,scenario
2015-03,1446,0.9177570717591292,-0.06476211809164634,downside_10pct
2015-04,2231,0.9397092919890861,-0.06476211809164634,downside_10pct
2015-05,646,0.9566403108010546,-0.06476211809164634,downside_10pct
2015-03,1446,0.9687435757457477,-0.01280445798562668,downside_5pct
2015-04,2231,0.9919153637662576,-0.012804457985626684,downside_5pct
2015-05,646,1.0097869947344464,-0.012804457985626684,downside_5pct
2015-03,1446,1.0197300797323658,0.03915320212039286,neutral
2015-04,2231,1.044121435543429,0.03915320212039287,neutral
2015-05,646,1.0629336786678385,0.03915320212039286,neutral
2015-03,1446,1.0707165837189843,0.09111086222641253,upside_5pct
2015-04,2231,1.0963275073206005,0.09111086222641251,upside_5pct
2015-05,646,1.1160803626012303,0.0911108622264125,upside_5pct
