scenario,shock_factor,sale_week,home_count,feedback_multiplier_used,feedback_sample_count,current_week_sale_ratio,baseline_mape,feedback_mape,baseline_overpay_rate,feedback_overpay_rate,baseline_average_net_pnl_proxy,feedback_average_net_pnl_proxy,baseline_negative_pnl_rate,feedback_negative_pnl_rate,average_offer_change_pct
downside_5pct,0.95,2015-03-09,309,1.0,0,0.9595153372548162,0.13243283009845547,0.13243283009845547,0.2783171521035599,0.2783171521035599,31903.08539197852,31903.08539197852,0.3948220064724919,0.3948220064724919,0.0
downside_5pct,0.95,2015-03-16,427,0.9595153372548162,309,0.9753831293339245,0.11429752107230519,0.10829519673781236,0.2224824355971897,0.1405152224824356,37149.85818210076,55339.17642213671,0.3231850117096019,0.2224824355971897,-0.04048466274518381
downside_5pct,0.95,2015-03-23,546,0.9681279805008092,736,0.9706537214669824,0.1313687830042318,0.12393510825488363,0.24175824175824176,0.18681318681318682,28896.899572997045,43715.47470323462,0.36446886446886445,0.26373626373626374,-0.03187201949919082
downside_5pct,0.95,2015-03-30,440,0.9695742849369805,1282,0.975531152905796,0.1186435246346748,0.1136992193892031,0.19318181818181818,0.15454545454545454,42133.38059911637,57108.85818042106,0.325,0.20227272727272727,-0.030425715063019495
downside_5pct,0.95,2015-04-06,493,0.970821848132337,1722,0.9871955420143733,0.11987068267099184,0.11662486587466762,0.20486815415821502,0.1643002028397566,43522.19862620148,57071.13511360683,0.3002028397565923,0.2413793103448276,-0.029178151867663035
downside_5pct,0.95,2015-04-13,459,0.975854492130179,1906,0.9858511182993877,0.11505587385188973,0.11194017569500939,0.20261437908496732,0.1503267973856209,44054.62572230031,55424.20865109567,0.3006535947712418,0.23529411764705882,-0.024145507869820948
downside_5pct,0.95,2015-04-20,559,0.9801601995131375,1938,0.9970696930132646,0.11403477508883646,0.1128473327765653,0.1735241502683363,0.1520572450805009,44454.94968671182,53985.06869538505,0.2844364937388193,0.2146690518783542,-0.01983980048686251
downside_5pct,0.95,2015-04-27,537,0.9880125087771388,1951,1.0010383039049597,0.11876008340472267,0.1180712863899952,0.1601489757914339,0.1378026070763501,46330.19255189814,51720.16216167742,0.27001862197392923,0.2346368715083799,-0.011987491222861241
downside_5pct,0.95,2015-05-04,419,0.993859810147082,2048,1.008451242892826,0.12716694609528528,0.12692224215035938,0.18377088305489261,0.1718377088305489,51000.1792311729,53745.902374442616,0.23389021479713604,0.22673031026252982,-0.006140189852917983
downside_5pct,0.95,2015-05-11,132,0.9978711984098119,1974,1.0100108947721647,0.1326086702956179,0.13248764559516138,0.16666666666666666,0.16666666666666666,68154.29233551217,69107.15314079355,0.23484848484848486,0.23484848484848486,-0.0021288015901881475
downside_5pct,0.95,2015-05-18,1,1.0038876342155165,1647,1.0778526426766646,0.07222939351276321,0.0686225607588329,0.0,0.0,63392.97017017001,62059.888618799276,0.0,0.0,0.003887634215516537
